Canal;Código
HIPER & SUPER;51
INDIRETOS;52
DIFERENCIADOS;53
TRADICIONAL;54
C-STORE;55
MERCADO FRIO;56
FAST FOOD;57
VENDING MACHINE;58
OUTROS;59
